Nigeria	37,283,019						476,747,779
Niue	4,519						2,406
North Korea	11,116,734						19,512,148
North Macedonia	1,248,682						863,000
Northern Mariana Islands	7,131						41,633
Norway	3,265,199						5,413,617
Oman	456,997						12,095,002
Pakistan	35,849,256						511,000,613
Palau	7,494						11,144
Palestine	944,632						11,482,182
Panama	860,855						5,904,928
Papua New Guinea	1,543,441						18,640,539
Paraguay	1,504,351						9,047,993
Peru	7,677,414						38,163,321
Philippines	18,849,532						114,221,913
Poland	24,780,169						19,329,843
Portugal	8,418,877						8,753,989
Puerto Rico	2,229,095						995,622
Qatar	24,304						7,272,258
Reunion	249,229						852,215
Romania	16,397,275						10,768,185
Russia	103,392,364						126,386,520
Rwanda	2,157,101						32,779,350
Saint Barthelemy	2,024						9,252
Saint Helena	5,249						2,654
Saint Kitts and Nevis	47,254						30,258
Saint Lucia	93,009						108,220
Saint Pierre and Miquelon	4,507						2,032
Saint Vincent and the Grenadines	61,686						64,240
Samoa	88,299						383,564
San Marino	12,970						31,183
Sao Tome and Principe	60,895						534,018
Saudi Arabia	1,703,280						71,006,695
Senegal	2,555,376						47,014,189
Serbia	6,009,201						3,701,503
Seychelles	38,306						115,975
Sierra Leone	1,999,628						15,934,260
Singapore	1,013,318						4,163,015
Slovakia	3,465,750						3,427,219
Slovenia	1,446,362						1,632,032
Solomon Islands	108,650						1,849,206
Somalia	2,213,139						67,364,025
South Africa	13,038,501						94,314,443
South Korea	19,757,319						21,848,795
South Sudan	2,493,286						23,840,778
Spain	28,077,048						33,127,484
Sri Lanka	7,811,051						21,249,404
Sudan	6,189,915						136,890,755
Suriname	195,575						709,001
Sweden	7,016,565						11,366,899
Switzerland	4,692,642						9,126,130
Syria	3,612,085						43,686,650
Taiwan	7,596,535						10,016,994
Tajikistan	1,528,311						20,201,577
Tanzania	7,625,152						262,834,719
Thailand	20,428,401						45,555,066
Togo	1,399,603						26,300,756
Tokelau	1,612						4,385
Tonga	49,679						117,879
Trinidad and Tobago	648,778						898,357
Tunisia	3,608,997						10,652,235
Turkey	21,021,142						65,338,458
Turkmenistan	1,269,184						9,946,599
Turks and Caicos Islands	5,059						38,687
Tuvalu	4,784						12,290
Uganda	5,750,917						120,835,188
Ukraine	37,310,888						15,197,403
United Arab Emirates	74,532						26,134,296
United Kingdom	50,121,020						74,305,411
United States	154,202,683						421,278,889
United States Virgin Islands	27,104						61,981
Upper-middle-income countries	971,459,726						2,026,150,941
Uruguay	2,234,414						2,245,889
Uzbekistan	6,239,906						74,350,004
Vanuatu	51,557						875,476
Vatican	889						1,363
Venezuela	5,488,858						28,280,554
Vietnam	25,100,732						91,705,113
Wallis and Futuna	8,557						6,896
Western Sahara	12,981						831,294
World	2,493,092,852						10,180,160,744
Yemen	4,616,782						110,035,631
Zambia	2,321,310						64,473,919
Zimbabwe	2,790,908 1
