Entity,Code,Year,Annual CO₂ emissions (per capita)
Canada,CAN,1887,2.1651986
Canada,CAN,1888,2.8083618
Canada,CAN,1889,2.3566074
Canada,CAN,1890,2.5630736
Canada,CAN,1891,2.8485932
Canada,CAN,1892,2.8091936
Canada,CAN,1893,2.9741094
Canada,CAN,1894,2.8107967
Canada,CAN,1895,2.6554804
Canada,CAN,1896,2.8461123
Canada,CAN,1897,2.8466144
Canada,CAN,1898,2.9912574
Canada,CAN,1899,3.601491
Canada,CAN,1900,3.809882
Canada,CAN,1901,4.314541
Canada,CAN,1902,4.5310693
Canada,CAN,1903,4.807077
Canada,CAN,1904,5.5376906
Canada,CAN,1905,5.762103
Canada,CAN,1906,5.924632
Canada,CAN,1907,7.2467875
Canada,CAN,1908,7.115185
Canada,CAN,1909,6.639268
Canada,CAN,1910,7.371467
Canada,CAN,1911,8.413321
Canada,CAN,1912,9.193391
Canada,CAN,1913,10.621982
Canada,CAN,1914,8.981634
Canada,CAN,1915,7.869652
Canada,CAN,1916,9.651729
Canada,CAN,1917,10.549546
Canada,CAN,1918,10.857058
Canada,CAN,1919,9.048733
Canada,CAN,1920,9.844267
Canada,CAN,1921,9.216849
Canada,CAN,1922,7.783743
Canada,CAN,1923,10.275167
Canada,CAN,1924,8.402561
Canada,CAN,1925,8.028306
Canada,CAN,1926,8.8852415
Canada,CAN,1927,9.4766445
Canada,CAN,1928,9.49147
Canada,CAN,1929,9.862325
Canada,CAN,1930,9.257836
Canada,CAN,1931,7.343073
Canada,CAN,1932,6.7147307
Canada,CAN,1933,6.573879
Canada,CAN,1934,7.4792857
Canada,CAN,1935,7.2952337
Canada,CAN,1936,7.8913813
Canada,CAN,1937,8.469536
Canada,CAN,1938,7.6667156
Canada,CAN,1939,8.410252
Canada,CAN,1940,9.483877
Canada,CAN,1941,10.331519
Canada,CAN,1942,11.084097
Canada,CAN,1943,11.464969
Canada,CAN,1944,11.450211
Canada,CAN,1945,10.452736
Canada,CAN,1946,10.886324
Canada,CAN,1947,11.086596
Canada,CAN,1948,12.02194
Canada,CAN,1949,10.782731
Canada,CAN,1950,11.216466
Canada,CAN,1951,11.551132
Canada,CAN,1952,11.006764
Canada,CAN,1953,10.780608
Canada,CAN,1954,10.638279
Canada,CAN,1955,10.77506
Canada,CAN,1956,11.745476
Canada,CAN,1957,10.985386
Canada,CAN,1958,10.649803
Canada,CAN,1959,10.53245
Canada,CAN,1960,10.766993
Canada,CAN,1961,10.622562
Canada,CAN,1962,11.120407
Canada,CAN,1963,11.121489
Canada,CAN,1964,12.295921
Canada,CAN,1965,12.797072
Canada,CAN,1966,12.919052
Canada,CAN,1967,13.7998
Canada,CAN,1968,14.626161
Canada,CAN,1969,14.598572
Canada,CAN,1970,15.9131
Canada,CAN,1971,16.089348
Canada,CAN,1972,17.128956
Canada,CAN,1973,16.93627
Canada,CAN,1974,17.070429
Canada,CAN,1975,17.140572
Canada,CAN,1976,17.00912
Canada,CAN,1977,17.184347
Canada,CAN,1978,17.329044
Canada,CAN,1979,18.223114
Canada,CAN,1980,18.050495
Canada,CAN,1981,17.292418
Canada,CAN,1982,16.485767
Canada,CAN,1983,16.068344
Canada,CAN,1984,16.56514
Canada,CAN,1985,16.265327
Canada,CAN,1986,15.440364
Canada,CAN,1987,16.238403
Canada,CAN,1988,16.921797
Canada,CAN,1989,16.91458
Canada,CAN,1990,16.481619
Canada,CAN,1991,15.973067
Canada,CAN,1992,16.263006
Canada,CAN,1993,16.09954
Canada,CAN,1994,16.421047
Canada,CAN,1995,16.681196
Canada,CAN,1996,17.056643
Canada,CAN,1997,17.366526
Canada,CAN,1998,17.462454
Canada,CAN,1999,17.7737
Canada,CAN,2000,18.330475
Canada,CAN,2001,17.888384
Canada,CAN,2002,17.875952
Canada,CAN,2003,18.242985
Canada,CAN,2004,18.024103
Canada,CAN,2005,17.658808
Canada,CAN,2006,17.343943
Canada,CAN,2007,17.886063
Canada,CAN,2008,17.213322
Canada,CAN,2009,16.04697
Canada,CAN,2010,16.221771
Canada,CAN,2011,16.301926
Canada,CAN,2012,16.156374
Canada,CAN,2013,16.117844
Canada,CAN,2014,15.896746
Canada,CAN,2015,15.728835
Canada,CAN,2016,15.373321
Canada,CAN,2017,15.474768
Canada,CAN,2018,15.526985
Canada,CAN,2019,15.404441
Canada,CAN,2020,13.795005
Canada,CAN,2021,14.050835
Canada,CAN,2022,14.18325
Canada,CAN,2023,13.977395
China,CHN,1907,0.04840261
China,CHN,1908,0.055020537
China,CHN,1909,0.058310255
China,CHN,1910,0.059680074
China,CHN,1911,0.05827084
China,CHN,1912,0.039898846
China,CHN,1913,0.056213327
China,CHN,1914,0.061269186
China,CHN,1915,0.057669863
China,CHN,1916,0.0676246
China,CHN,1917,0.071104296
China,CHN,1918,0.07631273
China,CHN,1919,0.08266413
China,CHN,1920,0.08693245
China,CHN,1921,0.083120845
China,CHN,1922,0.08528475
China,CHN,1923,0.09890104
China,CHN,1924,0.103484906
China,CHN,1925,0.09701566
China,CHN,1926,0.09184579
China,CHN,1927,0.09602494
China,CHN,1928,0.09940985
China,CHN,1929,0.10044768
China,CHN,1930,0.102641396
China,CHN,1931,0.10696789
China,CHN,1932,0.10303524
China,CHN,1933,0.110256605
China,CHN,1934,0.12636147
China,CHN,1935,0.1462837
China,CHN,1936,0.15108936
China,CHN,1937,0.141227
China,CHN,1938,0.12139731
China,CHN,1939,0.14638789
China,CHN,1940,0.17756674
China,CHN,1941,0.22169025
China,CHN,1942,0.24687532
China,CHN,1943,0.20974888
China,CHN,1944,0.19717897
China,CHN,1945,0.1064322
China,CHN,1946,0.06839545
China,CHN,1947,0.078831576
China,CHN,1948,0.07197712
China,CHN,1949,0.11541034
China,CHN,1950,0.144906
China,CHN,1951,0.18440396
China,CHN,1952,0.22649479
China,CHN,1953,0.23163575
China,CHN,1954,0.27262098
China,CHN,1955,0.31566963
China,CHN,1956,0.3500462
China,CHN,1957,0.40577844
China,CHN,1958,0.81434524
China,CHN,1959,1.1033285
China,CHN,1960,1.2199105
China,CHN,1961,0.87016356
China,CHN,1962,0.6910784
China,CHN,1963,0.6672671
China,CHN,1964,0.653573
China,CHN,1965,0.69156134
China,CHN,1966,0.74011
China,CHN,1967,0.60474396
China,CHN,1968,0.63444245
China,CHN,1969,0.7575773
China,CHN,1970,0.98134804
China,CHN,1971,1.0771736
China,CHN,1972,1.1215358
China,CHN,1973,1.1424416
China,CHN,1974,1.1419429
China,CHN,1975,1.2915547
China,CHN,1976,1.3182049
China,CHN,1977,1.4210548
China,CHN,1978,1.5612195
China,CHN,1979,1.5740018
China,CHN,1980,1.5200888
China,CHN,1981,1.4798603
China,CHN,1982,1.585047
China,CHN,1983,1.6463653
China,CHN,1984,1.7673312
China,CHN,1985,1.8853257
China,CHN,1986,1.9533492
China,CHN,1987,2.0595717
China,CHN,1988,2.175213
China,CHN,1989,2.1725519
China,CHN,1990,2.1540327
China,CHN,1991,2.2259324
China,CHN,1992,2.3052905
China,CHN,1993,2.4401822
China,CHN,1994,2.5671885
China,CHN,1995,2.755138
China,CHN,1996,2.8505082
China,CHN,1997,2.8325534
China,CHN,1998,2.6898472
China,CHN,1999,2.822838
China,CHN,2000,2.8743546
China,CHN,2001,2.9158025
China,CHN,2002,3.1884
China,CHN,2003,3.7397094
China,CHN,2004,4.0068736
China,CHN,2005,4.4900646
China,CHN,2006,4.927211
China,CHN,2007,5.2673674
China,CHN,2008,5.624066
China,CHN,2009,5.8777986
China,CHN,2010,6.378234
China,CHN,2011,7.0077763
China,CHN,2012,7.140667
China,CHN,2013,7.219921
China,CHN,2014,7.19784
China,CHN,2015,7.0648346
China,CHN,2016,6.953239
China,CHN,2017,7.084865
China,CHN,2018,7.2818375
China,CHN,2019,7.5264
China,CHN,2020,7.6471825
China,CHN,2021,8.025529
China,CHN,2022,7.9642863
China,CHN,2023,8.366814
European Union (27),,1800,0.009496322
European Union (27),,1801,0.007687109
European Union (27),,1802,0.075323544
European Union (27),,1803,0.0077432757
European Union (27),,1804,0.028136875
European Union (27),,1805,0.012384073
European Union (27),,1806,0.011137889
European Union (27),,1807,0.02456841
European Union (27),,1808,0.010567293
European Union (27),,1809,0.01053345
European Union (27),,1810,0.027361546
European Union (27),,1811,0.026461568
European Union (27),,1812,0.026405927
European Union (27),,1813,0.024308203
European Union (27),,1814,0.025301173
European Union (27),,1815,0.028637664
European Union (27),,1816,0.039958455
European Union (27),,1817,0.048438467
European Union (27),,1818,0.048490986
European Union (27),,1819,0.048217118
European Union (27),,1820,0.051519662
European Union (27),,1821,0.05368985
European Union (27),,1822,0.05565921
European Union (27),,1823,0.05998616
European Union (27),,1824,0.057156302
European Union (27),,1825,0.067487836
European Union (27),,1826,0.066472225
European Union (27),,1827,0.08102235
European Union (27),,1828,0.08177985
European Union (27),,1829,0.07329413
European Union (27),,1830,0.123744555
European Union (27),,1831,0.10568741
European Union (27),,1832,0.10498963
European Union (27),,1833,0.112357475
European Union (27),,1834,0.122855805
European Union (27),,1835,0.13000333
European Union (27),,1836,0.14598058
European Union (27),,1837,0.15728626
European Union (27),,1838,0.1656946
European Union (27),,1839,0.17134991
European Union (27),,1840,0.19290182
European Union (27),,1841,0.20625627
European Union (27),,1842,0.22050618
European Union (27),,1843,0.21190807
European Union (27),,1844,0.2259962
European Union (27),,1845,0.25558025
European Union (27),,1846,0.28480136
European Union (27),,1847,0.30806577
European Union (27),,1848,0.27135873
European Union (27),,1849,0.2783948
European Union (27),,1850,0.3050663
European Union (27),,1851,0.32050323
European Union (27),,1852,0.35732245
European Union (27),,1853,0.3931904
European Union (27),,1854,0.45188573
European Union (27),,1855,0.49544978
European Union (27),,1856,0.5225753
European Union (27),,1857,0.541157
European Union (27),,1858,0.56674975
European Union (27),,1859,0.5532162
European Union (27),,1860,0.5954035
European Union (27),,1861,0.6503463
European Union (27),,1862,0.6994091
European Union (27),,1863,0.7228069
European Union (27),,1864,0.77671826
European Union (27),,1865,0.8376266
European Union (27),,1866,0.85492015
European Union (27),,1867,0.91055155
European Union (27),,1868,0.94886684
European Union (27),,1869,0.9821871
European Union (27),,1870,0.97921836
European Union (27),,1871,1.0383115
European Union (27),,1872,1.1453869
European Union (27),,1873,1.2173191
European Union (27),,1874,1.0572629
European Union (27),,1875,1.2148176
European Union (27),,1876,1.2599242
European Union (27),,1877,1.2202631
European Union (27),,1878,1.2514178
European Union (27),,1879,1.3149316
European Union (27),,1880,1.5098214
European Union (27),,1881,1.5042554
European Union (27),,1882,1.5779564
European Union (27),,1883,1.6722529
European Union (27),,1884,1.6759238
European Union (27),,1885,1.683614
European Union (27),,1886,1.6785326
European Union (27),,1887,1.7447912
European Union (27),,1888,1.8626709
European Union (27),,1889,1.9476731
European Union (27),,1890,2.0478294
European Union (27),,1891,2.1150095
European Union (27),,1892,2.0663364
European Union (27),,1893,2.0847745
European Union (27),,1894,2.1727724
European Union (27),,1895,2.2216527
European Union (27),,1896,2.3340592
European Union (27),,1897,2.4496882
European Union (27),,1898,2.5379882
European Union (27),,1899,2.6517208
European Union (27),,1900,2.7982206
European Union (27),,1901,2.7651422
European Union (27),,1902,2.69054
European Union (27),,1903,2.8457546
European Union (27),,1904,2.874457
European Union (27),,1905,2.9946952
European Union (27),,1906,3.0304255
European Union (27),,1907,3.429673
European Union (27),,1908,3.5261562
European Union (27),,1909,3.4763472
European Union (27),,1910,3.5235155
European Union (27),,1911,3.584069
European Union (27),,1912,3.8379014
European Union (27),,1913,4.1350245
European Union (27),,1914,3.5407035
European Union (27),,1915,3.250654
European Union (27),,1916,3.4199033
European Union (27),,1917,3.394824
European Union (27),,1918,3.1993554
European Union (27),,1919,2.4852242
European Union (27),,1920,3.1059756
European Union (27),,1921,3.2074685
European Union (27),,1922,3.2697504
European Union (27),,1923,2.9064872
European Union (27),,1924,3.4992669
European Union (27),,1925,3.508122
European Union (27),,1926,3.3608837
European Union (27),,1927,3.7449894
European Union (27),,1928,3.7991657
European Union (27),,1929,4.1377864
European Union (27),,1930,3.732181
European Union (27),,1931,3.3366063
European Union (27),,1932,2.9287193
European Union (27),,1933,3.000188
European Union (27),,1934,3.2129476
European Union (27),,1935,3.342031
European Union (27),,1936,3.460963
European Union (27),,1937,3.8706443
European Union (27),,1938,3.8856747
European Union (27),,1939,3.9771554
European Union (27),,1940,4.1191573
European Union (27),,1941,4.0459433
European Union (27),,1942,4.096244
European Union (27),,1943,4.1236806
European Union (27),,1944,3.5284529
European Union (27),,1945,1.5226943
European Union (27),,1946,2.6231813
European Union (27),,1947,3.0673258
European Union (27),,1948,3.3839843
European Union (27),,1949,3.7290008
European Union (27),,1950,3.8939776
European Union (27),,1951,4.325158
European Union (27),,1952,4.4649744
European Union (27),,1953,4.5135183
European Union (27),,1954,4.761154
European Union (27),,1955,5.1094565
European Union (27),,1956,5.4292383
European Union (27),,1957,5.5551286
European Union (27),,1958,5.4607654
European Union (27),,1959,5.4975877
European Union (27),,1960,5.8999124
European Union (27),,1961,6.1299424
European Union (27),,1962,6.5081983
European Union (27),,1963,6.8882647
European Union (27),,1964,7.1882463
European Union (27),,1965,7.218554
European Union (27),,1966,7.3803062
European Union (27),,1967,7.4910903
European Union (27),,1968,7.895214
European Union (27),,1969,8.3569355
European Union (27),,1970,8.667849
European Union (27),,1971,8.856128
European Union (27),,1972,9.124801
European Union (27),,1973,9.503384
European Union (27),,1974,9.396164
European Union (27),,1975,9.164587
European Union (27),,1976,9.812263
European Union (27),,1977,9.668044
European Union (27),,1978,9.946891
European Union (27),,1979,10.170705
European Union (27),,1980,10.029868
European Union (27),,1981,9.458792
European Union (27),,1982,9.201721
European Union (27),,1983,9.071424
European Union (27),,1984,9.133937
European Union (27),,1985,9.251053
European Union (27),,1986,9.1897955
European Union (27),,1987,9.241755
European Union (27),,1988,9.120197
European Union (27),,1989,9.175288
European Union (27),,1990,9.214598
European Union (27),,1991,9.027587
European Union (27),,1992,8.696673
European Union (27),,1993,8.507024
European Union (27),,1994,8.441405
European Union (27),,1995,8.537151
European Union (27),,1996,8.729384
European Union (27),,1997,8.564151
European Union (27),,1998,8.541549
European Union (27),,1999,8.408397
European Union (27),,2000,8.419039
European Union (27),,2001,8.532679
European Union (27),,2002,8.508337
European Union (27),,2003,8.659959
European Union (27),,2004,8.645041
European Union (27),,2005,8.596072
European Union (27),,2006,8.61288
European Union (27),,2007,8.472536
European Union (27),,2008,8.26802
European Union (27),,2009,7.574756
European Union (27),,2010,7.7711906
European Union (27),,2011,7.536311
European Union (27),,2012,7.3700943
European Union (27),,2013,7.1770205
European Union (27),,2014,6.8592596
European Union (27),,2015,6.9715643
European Union (27),,2016,6.952579
European Union (27),,2017,6.994051
European Union (27),,2018,6.8305554
European Union (27),,2019,6.492865
European Union (27),,2020,5.8676276
European Union (27),,2021,6.256661
European Union (27),,2022,6.1010814
European Union (27),,2023,5.571019
India,IND,1858,0.0016306345
India,IND,1859,0.0026225285
India,IND,1860,0.0026413742
India,IND,1861,0.0020357708
India,IND,1862,0.0022457154
India,IND,1863,0.0024812713
India,IND,1864,0.0023389156
India,IND,1865,0.0022912421
India,IND,1866,0.0025777572
India,IND,1878,0.0069541484
India,IND,1879,0.00661162
India,IND,1880,0.007376274
India,IND,1881,0.007152246
India,IND,1882,0.008483122
India,IND,1883,0.00935244
India,IND,1884,0.010376405
India,IND,1885,0.009273
India,IND,1886,0.010368174
India,IND,1887,0.011375812
India,IND,1888,0.012549144
India,IND,1889,0.014703918
India,IND,1890,0.016115645
India,IND,1891,0.017284762
India,IND,1892,0.018952932
India,IND,1893,0.01999356
India,IND,1894,0.020230243
India,IND,1895,0.025301976
India,IND,1896,0.027325615
India,IND,1897,0.029601838
India,IND,1898,0.03268272
India,IND,1899,0.035929587
India,IND,1900,0.042497184
India,IND,1901,0.04676396
India,IND,1902,0.051255062
India,IND,1903,0.051971376
India,IND,1904,0.05781762
India,IND,1905,0.058773577
India,IND,1906,0.067479804
India,IND,1907,0.074727364
India,IND,1908,0.08500604
India,IND,1909,0.08200695
India,IND,1910,0.07948412
India,IND,1911,0.08363586
India,IND,1912,0.09608166
India,IND,1913,0.105915904
India,IND,1914,0.10660639
India,IND,1915,0.1113691
India,IND,1916,0.11253865
India,IND,1917,0.11748533
India,IND,1918,0.13189174
India,IND,1919,0.14359692
India,IND,1920,0.11597921
India,IND,1921,0.12397458
India,IND,1922,0.12101957
India,IND,1923,0.12333363
India,IND,1924,0.13069953
India,IND,1925,0.1277203
India,IND,1926,0.12605053
India,IND,1927,0.13091344
India,IND,1928,0.12405647
India,IND,1929,0.12777013
India,IND,1930,0.1284197
India,IND,1931,0.116239466
India,IND,1932,0.10668871
India,IND,1933,0.10328146
India,IND,1934,0.11374881
India,IND,1935,0.117218636
India,IND,1936,0.1136144
India,IND,1937,0.1241089
India,IND,1938,0.136815
India,IND,1939,0.13263759
India,IND,1940,0.13995251
India,IND,1941,0.14319769
India,IND,1942,0.14351086
India,IND,1943,0.1259883
India,IND,1944,0.12979308
India,IND,1945,0.14496106
India,IND,1946,0.14425357
India,IND,1947,0.1479919
India,IND,1948,0.14916655
India,IND,1949,0.15787825
India,IND,1950,0.1764548
India,IND,1951,0.18091984
India,IND,1952,0.18632445
India,IND,1953,0.18563625
India,IND,1954,0.19122282
India,IND,1955,0.20321785
India,IND,1956,0.2056893
India,IND,1957,0.22556178
India,IND,1958,0.23044969
India,IND,1959,0.23826177
India,IND,1960,0.25533834
India,IND,1961,0.26962334
India,IND,1962,0.28993317
India,IND,1963,0.30427772
India,IND,1964,0.29106772
India,IND,1965,0.31358773
India,IND,1966,0.31827557
India,IND,1967,0.31187224
India,IND,1968,0.3330088
India,IND,1969,0.3323091
India,IND,1970,0.3329081
India,IND,1971,0.3439615
India,IND,1972,0.35590243
India,IND,1973,0.35836738
India,IND,1974,0.36153805
India,IND,1975,0.38312688
India,IND,1976,0.39105973
India,IND,1977,0.40412185
India,IND,1978,0.4013089
India,IND,1979,0.4116552
India,IND,1980,0.42439717
India,IND,1981,0.44758826
India,IND,1982,0.45172
India,IND,1983,0.4776402
India,IND,1984,0.4789657
India,IND,1985,0.5145839
India,IND,1986,0.5391612
India,IND,1987,0.5628946
India,IND,1988,0.59430265
India,IND,1989,0.6390376
India,IND,1990,0.668225
India,IND,1991,0.6961713
India,IND,1992,0.7258895
India,IND,1993,0.73450357
India,IND,1994,0.758703
India,IND,1995,0.7918992
India,IND,1996,0.8407051
India,IND,1997,0.8587551
India,IND,1998,0.85972553
India,IND,1999,0.9253892
India,IND,2000,0.93243545
India,IND,2001,0.92821974
India,IND,2002,0.94036025
India,IND,2003,0.95606565
India,IND,2004,0.9980951
India,IND,2005,1.034569
India,IND,2006,1.1019762
India,IND,2007,1.1695087
India,IND,2008,1.2330484
India,IND,2009,1.3155314
India,IND,2010,1.348904
India,IND,2011,1.3992051
India,IND,2012,1.5060124
India,IND,2013,1.53963
India,IND,2014,1.6371113
India,IND,2015,1.6823632
India,IND,2016,1.7520503
India,IND,2017,1.7847193
India,IND,2018,1.886328
India,IND,2019,1.8810879
India,IND,2020,1.726452
India,IND,2021,1.8909733
India,IND,2022,1.9861934
India,IND,2023,2.129469
Kenya,KEN,1950,0.15750426
Kenya,KEN,1951,0.23622857
Kenya,KEN,1952,0.263547
Kenya,KEN,1953,0.24468103
Kenya,KEN,1954,0.2677632
Kenya,KEN,1955,0.30406824
Kenya,KEN,1956,0.3299264
Kenya,KEN,1957,0.32856467
Kenya,KEN,1958,0.29096153
Kenya,KEN,1959,0.2974793
Kenya,KEN,1960,0.31501576
Kenya,KEN,1961,0.30028227
Kenya,KEN,1962,0.31593284
Kenya,KEN,1963,0.33065233
Kenya,KEN,1964,0.31461945
Kenya,KEN,1965,0.26385647
Kenya,KEN,1966,0.2757905
Kenya,KEN,1967,0.26687962
Kenya,KEN,1968,0.26765528
Kenya,KEN,1969,0.2857911
Kenya,KEN,1970,0.27075973
Kenya,KEN,1971,0.31209445
Kenya,KEN,1972,0.3167466
Kenya,KEN,1973,0.30978048
Kenya,KEN,1974,0.37823477
Kenya,KEN,1975,0.36777225
Kenya,KEN,1976,0.3297636
Kenya,KEN,1977,0.34995535
Kenya,KEN,1978,0.35604224
Kenya,KEN,1979,0.32548735
Kenya,KEN,1980,0.3863839
Kenya,KEN,1981,0.3926871
Kenya,KEN,1982,0.27242717
Kenya,KEN,1983,0.26082188
Kenya,KEN,1984,0.23302206
Kenya,KEN,1985,0.19609773
Kenya,KEN,1986,0.2088805
Kenya,KEN,1987,0.2507045
Kenya,KEN,1988,0.2240157
Kenya,KEN,1989,0.23452874
Kenya,KEN,1990,0.25418824
Kenya,KEN,1991,0.20444185
Kenya,KEN,1992,0.22706711
Kenya,KEN,1993,0.25248834
Kenya,KEN,1994,0.25344306
Kenya,KEN,1995,0.28376904
Kenya,KEN,1996,0.33983287
Kenya,KEN,1997,0.29215634
Kenya,KEN,1998,0.3447668
Kenya,KEN,1999,0.33869702
Kenya,KEN,2000,0.339682
Kenya,KEN,2001,0.29342556
Kenya,KEN,2002,0.2418248
Kenya,KEN,2003,0.19901927
Kenya,KEN,2004,0.21864036
Kenya,KEN,2005,0.23898835
Kenya,KEN,2006,0.25920057
Kenya,KEN,2007,0.25826955
Kenya,KEN,2008,0.26099798
Kenya,KEN,2009,0.3054444
Kenya,KEN,2010,0.2923937
Kenya,KEN,2011,0.31450126
Kenya,KEN,2012,0.2849444
Kenya,KEN,2013,0.29915392
Kenya,KEN,2014,0.31555018
Kenya,KEN,2015,0.36099023
Kenya,KEN,2016,0.3767061
Kenya,KEN,2017,0.35996386
Kenya,KEN,2018,0.37520558
Kenya,KEN,2019,0.3866188
Kenya,KEN,2020,0.4209682
Kenya,KEN,2021,0.41928926
Kenya,KEN,2022,0.3944042
Kenya,KEN,2023,0.38907528
South Africa,ZAF,1884,0.0050736433
South Africa,ZAF,1885,0.008365839
South Africa,ZAF,1886,0.010759545
South Africa,ZAF,1887,0.01064474
South Africa,ZAF,1888,0.017821977
South Africa,ZAF,1889,0.028852092
South Africa,ZAF,1890,0.064224645
South Africa,ZAF,1891,0.06353949
South Africa,ZAF,1892,0.10166516
South Africa,ZAF,1893,0.3769856
South Africa,ZAF,1894,0.5043756
South Africa,ZAF,1895,0.68461627
South Africa,ZAF,1896,0.8639288
South Africa,ZAF,1897,0.9591635
South Africa,ZAF,1898,1.2014496
South Africa,ZAF,1899,1.0828559
South Africa,ZAF,1900,0.4512719
South Africa,ZAF,1901,0.7461658
South Africa,ZAF,1902,1.0945115
South Africa,ZAF,1903,1.4374822
South Africa,ZAF,1904,1.5922661
South Africa,ZAF,1905,1.7904944
South Africa,ZAF,1906,2.0124688
South Africa,ZAF,1907,2.1834621
South Africa,ZAF,1908,2.2070045
South Africa,ZAF,1909,2.498554
South Africa,ZAF,1910,2.7863219
South Africa,ZAF,1911,2.6380436
South Africa,ZAF,1912,2.7556145
South Africa,ZAF,1913,2.9671652
South Africa,ZAF,1914,2.8303142
South Africa,ZAF,1915,2.8018916
South Africa,ZAF,1916,3.2490325
South Africa,ZAF,1917,3.4212754
South Africa,ZAF,1918,3.2077305
South Africa,ZAF,1919,3.2852855
South Africa,ZAF,1920,3.580643
South Africa,ZAF,1921,3.4797127
South Africa,ZAF,1922,2.9246798
South Africa,ZAF,1923,3.4767804
South Africa,ZAF,1924,3.576961
South Africa,ZAF,1925,3.6516728
South Africa,ZAF,1926,3.7589078
South Africa,ZAF,1927,3.576474
South Africa,ZAF,1928,3.5102365
South Africa,ZAF,1929,3.5715163
South Africa,ZAF,1930,3.266413
South Africa,ZAF,1931,2.8492157
South Africa,ZAF,1932,2.56178
South Africa,ZAF,1933,2.7119203
South Africa,ZAF,1934,3.029633
South Africa,ZAF,1935,3.307719
South Africa,ZAF,1936,3.554351
South Africa,ZAF,1937,3.6386213
South Africa,ZAF,1938,3.749064
South Africa,ZAF,1939,3.8141108
South Africa,ZAF,1940,3.866799
South Africa,ZAF,1941,4.0492563
South Africa,ZAF,1942,4.339325
South Africa,ZAF,1943,4.2875905
South Africa,ZAF,1944,4.7074795
South Africa,ZAF,1945,4.7289643
South Africa,ZAF,1946,4.6544867
South Africa,ZAF,1947,4.5498047
South Africa,ZAF,1948,4.5651846
South Africa,ZAF,1949,4.7465005
South Africa,ZAF,1950,4.6808386
South Africa,ZAF,1951,4.894549
South Africa,ZAF,1952,5.213685
South Africa,ZAF,1953,5.110235
South Africa,ZAF,1954,5.202686
South Africa,ZAF,1955,5.7066035
South Africa,ZAF,1956,5.8641653
South Africa,ZAF,1957,5.880779
South Africa,ZAF,1958,6.162016
South Africa,ZAF,1959,5.899035
South Africa,ZAF,1960,5.9514885
